Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo,Length
Maeda,20,3,1960,Pygmy,72,Female,No,-49,70,Unknown,28,28,No,Yes,NA,NA,21.945600000000002
Maeda,21,3,1960,Pygmy,72,Female,No,-48,70,Unknown,21,21,No,Yes,NA,NA,21.945600000000002
Maeda,21,3,1960,Pygmy,70,Male,No,-48,70,Unknown,7,7,No,Yes,NA,NA,21.336000000000002
Maeda,21,3,1960,Pygmy,72,Male,No,-48,70,Unknown,27,27,No,Yes,NA,NA,21.945600000000002
Maeda,21,3,1960,Pygmy,75,Female,No,-48,70,Unknown,19,19,No,Yes,NA,NA,22.86
Maeda,21,3,1960,Pygmy,74,Male,No,-48,70,Unknown,27,27,No,Yes,NA,NA,22.555200000000003
Maeda,21,3,1960,Pygmy,74,Female,No,-48,70,Unknown,19,19,No,Yes,NA,NA,22.555200000000003
Maeda,21,3,1960,Pygmy,77,Female,No,-48,70,Unknown,26,26,No,Yes,NA,NA,23.4696
Maeda,21,3,1960,Pygmy,77,Female,Yes,-48,70,Mature,24,24,No,Yes,NA,NA,23.4696
Maeda,21,3,1960,Pygmy,72,Female,No,-48,70,Unknown,12,12,No,Yes,NA,NA,21.945600000000002
Maeda,21,3,1960,Pygmy,75,Female,No,-48,70,Unknown,20,20,No,Yes,NA,NA,22.86
Maeda,21,3,1960,Pygmy,73,Female,Yes,-48,70,Mature,38,38,No,Yes,NA,NA,22.250400000000003
Maeda,21,3,1960,Pygmy,70,Male,No,-48,70,Unknown,23,23,No,Yes,NA,NA,21.336000000000002
Maeda,21,3,1960,Pygmy,74,Female,Yes,-48,70,Mature,30,30,No,Yes,NA,NA,22.555200000000003
Maeda,21,3,1960,Pygmy,72,Female,No,-48,70,Unknown,8,8,No,Yes,NA,NA,21.945600000000002
Maeda,21,3,1960,Pygmy,73,Male,No,-48,70,Unknown,21,21,No,Yes,NA,NA,22.250400000000003
Maeda,21,3,1960,Pygmy,70,Male,No,-48,70,Unknown,24,24,No,Yes,NA,NA,21.336000000000002
Maeda,21,3,1960,Pygmy,78,Female,No,-48,70,Unknown,20,20,No,Yes,NA,NA,23.7744
Maeda,22,3,1960,Pygmy,70,Male,No,-49,70,Unknown,19,19,No,Yes,NA,NA,21.336000000000002
Maeda,22,3,1960,Pygmy,72,Female,No,-49,70,Unknown,16,16,No,Yes,NA,NA,21.945600000000002
Maeda,22,3,1960,Pygmy,67,Male,No,-49,70,Unknown,18,18,No,Yes,NA,NA,20.4216
Maeda,22,3,1960,Pygmy,71,Female,No,-49,70,Unknown,38,38,No,Yes,NA,NA,21.640800000000002
Maeda,22,3,1960,Pygmy,71,Female,No,-49,70,Unknown,37,37,No,Yes,NA,NA,21.640800000000002
Maeda,22,3,1960,Pygmy,73,Female,Yes,-49,70,Mature,35,35,No,Yes,NA,NA,22.250400000000003
Maeda,22,3,1960,Pygmy,74,Female,No,-49,70,Unknown,20,20,No,Yes,NA,NA,22.555200000000003
Maeda,22,3,1960,Pygmy,72,Male,No,-49,70,Unknown,11,11,No,Yes,NA,NA,21.945600000000002
Maeda,22,3,1960,Pygmy,72,Male,No,-49,70,Unknown,20,20,No,Yes,NA,NA,21.945600000000002
Maeda,22,3,1960,Pygmy,70,Male,No,-49,70,Unknown,18,18,No,Yes,NA,NA,21.336000000000002
Maeda,22,3,1960,Pygmy,75,Female,No,-49,70,Unknown,26,26,No,Yes,NA,NA,22.86
Maeda,22,3,1960,Pygmy,72,Male,No,-49,70,Unknown,38,38,No,Yes,NA,NA,21.945600000000002
