Length (ft),Ovarian corpora,Earplug laminae
62,1,12
63,0,9
64,0,13
64,4,18
65,2,16
65,2,17
66,0,12
66,1,14
66,2,15
66,4,20
66,6,28
67,0,15
67,2,13
67,2,14
67,3,21
67,3,16
67,4,23
67,7,27
67,10,36
68,1,11
68,2,16
68,3,18
68,4,18
68,4,22
68,5,20
68,5,30
68,9,35
69,2,14
69,4,19
69,7,25
69,8,24
69,11,41
