Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo
Maeda,21,3,1960,Pygmy,70,M,No,-48,70,Unknown,7,7,No,Yes,NA,
Maeda,21,3,1960,Pygmy,72,M,No,-48,70,Unknown,27,27,No,Yes,NA,
Maeda,21,3,1960,Pygmy,75,F,No,-48,70,Unknown,19,19,No,Yes,NA,
Maeda,21,3,1960,Pygmy,72,M,No,-48,70,Unknown,30,30,Yes,No,NA,
Maeda,21,3,1960,Pygmy,74,M,No,-48,70,Unknown,27,27,No,Yes,NA,
Maeda,21,3,1960,Pygmy,74,F,No,-48,70,Unknown,19,19,No,Yes,NA,
Maeda,21,3,1960,Pygmy,71,F,Yes,-48,70,Mature,14,14,Yes,No,NA,
Maeda,21,3,1960,Pygmy,77,F,No,-48,70,Unknown,26,26,No,Yes,NA,
Maeda,21,3,1960,Pygmy,77,F,Yes,-48,70,Mature,24,24,No,Yes,NA,
Maeda,21,3,1960,Pygmy,72,F,No,-48,70,Unknown,12,12,No,Yes,NA,
Maeda,21,3,1960,Pygmy,75,F,No,-48,70,Unknown,20,20,No,Yes,NA,
Maeda,21,3,1960,Pygmy,73,F,Yes,-48,70,Mature,38,38,No,Yes,NA,
Maeda,21,3,1960,Pygmy,70,M,No,-48,70,Unknown,23,23,No,Yes,NA,
Maeda,21,3,1960,Pygmy,74,F,Yes,-48,70,Mature,30,30,No,Yes,NA,
Maeda,21,3,1960,Pygmy,73,M,No,-48,70,Unknown,19,19,Yes,No,NA,
Maeda,21,3,1960,Pygmy,72,F,No,-48,70,Unknown,8,8,No,Yes,NA,
Maeda,21,3,1960,Pygmy,73,M,No,-48,70,Unknown,21,21,No,Yes,NA,
Maeda,21,3,1960,Pygmy,70,M,No,-48,70,Unknown,24,24,No,Yes,NA,
Maeda,21,3,1960,Pygmy,78,F,No,-48,70,Unknown,20,20,No,Yes,NA,
Maeda,22,3,1960,Pygmy,70,M,No,-49,70,Unknown,19,19,No,Yes,NA,
Maeda,22,3,1960,Pygmy,72,F,No,-49,70,Unknown,16,16,No,Yes,NA,
Maeda,22,3,1960,Pygmy,67,M,No,-49,70,Unknown,18,18,No,Yes,NA,
Maeda,22,3,1960,Pygmy,71,F,No,-49,70,Unknown,38,38,No,Yes,NA,
Maeda,22,3,1960,Pygmy,69,M,No,-49,70,Unknown,10,10,Yes,No,NA,
Maeda,22,3,1960,Pygmy,71,F,No,-49,70,Unknown,37,37,No,Yes,NA,
Maeda,22,3,1960,Pygmy,73,F,Yes,-49,70,Mature,35,35,No,Yes,NA,
Maeda,22,3,1960,Pygmy,74,F,No,-49,70,Unknown,20,20,No,Yes,NA,
Maeda,22,3,1960,Pygmy,72,M,No,-49,70,Unknown,11,11,No,Yes,NA,
Maeda,22,3,1960,Pygmy,72,M,No,-49,70,Unknown,20,20,No,Yes,NA,
Maeda,22,3,1960,Pygmy,78,F,No,-49,70,Unknown,42?,42,No,No,NA,
Maeda,22,3,1960,Pygmy,70,M,No,-49,70,Unknown,18,18,No,Yes,NA,
Maeda,22,3,1960,Pygmy,73,M,No,-49,70,Unknown,17,17,Yes,No,NA,
Maeda,22,3,1960,Pygmy,75,F,No,-49,70,Unknown,26,26,No,Yes,NA,
Maeda,22,3,1960,Pygmy,72,M,No,-49,70,Unknown,38,38,No,Yes,NA,
Maeda,22,3,1960,Pygmy,70,M,No,-49,70,Unknown,36,36,No,Yes,NA,
Maeda,22,3,1960,Pygmy,73,M,No,-49,70,Unknown,31,31,No,Yes,NA,
Maeda,22,3,1960,Pygmy,70,F,No,-49,70,Unknown,29,29,No,Yes,NA,
Maeda,22,3,1960,Pygmy,73,M,No,-49,70,Unknown,34,34,No,Yes,NA,
Maeda,22,3,1960,Pygmy,71,F,No,-49,70,Unknown,13,13,Yes,No,NA,
Maeda,22,3,1960,Pygmy,72,F,Yes,-49,70,Mature,23,23,No,Yes,NA,
Maeda,23,3,1960,Pygmy,75,F,No,-49,70,Unknown,20,20,No,Yes,NA,
Maeda,23,3,1960,Pygmy,72,F,No,-49,70,Unknown,19?,19,No,No,NA,
Maeda,23,3,1960,Pygmy,71,M,No,-49,70,Unknown,19,19,No,Yes,NA,
Maeda,23,3,1960,Pygmy,71,F,Yes,-49,70,Mature,20,20,No,Yes,NA,
Maeda,23,3,1960,Pygmy,78,F,No,-49,70,Unknown,19,19,No,Yes,NA,
Maeda,23,3,1960,Pygmy,68,M,No,-49,70,Unknown,11,11,No,Yes,NA,
Maeda,23,3,1960,Pygmy,72,M,No,-49,70,Unknown,16,16,No,Yes,NA,
Maeda,23,3,1960,Pygmy,73,F,No,-49,70,Unknown,16,16,No,Yes,NA,
Maeda,23,3,1960,Pygmy,71,F,No,-49,70,Unknown,38,38,No,Yes,NA,
Maeda,23,3,1960,Pygmy,70,M,No,-49,70,Unknown,15,15,No,Yes,NA,
Maeda,23,3,1960,Pygmy,74,M,No,-49,70,Unknown,20,20,No,Yes,NA,
Maeda,23,3,1960,Pygmy,71,M,No,-49,70,Unknown,16,16,No,Yes,NA,
Maeda,23,3,1960,Pygmy,72,M,No,-49,70,Unknown,39,39,No,Yes,NA,
Maeda,23,3,1960,Pygmy,75,F,No,-49,70,Unknown,27,27,Yes,No,NA,
Maeda,23,3,1960,Pygmy,75,M,No,-49,70,Unknown,21,21,No,Yes,NA,
Maeda,23,3,1960,Pygmy,76,F,Yes,-49,70,Mature,21,21,No,Yes,NA,
Maeda,24,3,1960,Pygmy,73,F,No,-49,70,Unknown,22,22,No,Yes,NA,
Maeda,24,3,1960,Pygmy,70,M,No,-49,70,Unknown,13,13,Yes,No,NA,
Maeda,24,3,1960,Pygmy,70,F,Yes,-49,70,Mature,21,21,No,Yes,NA,
Maeda,24,3,1960,Pygmy,72,F,No,-49,70,Unknown,20,20,No,Yes,NA,
Maeda,24,3,1960,Pygmy,72,F,No,-49,70,Unknown,16,16,No,Yes,NA,
Maeda,24,3,1960,Pygmy,73,F,No,-49,70,Unknown,23,23,No,Yes,NA,
Maeda,24,3,1960,Pygmy,77,F,No,-49,70,Unknown,30,30,No,Yes,NA,
Maeda,24,3,1960,Pygmy,75,F,No,-49,70,Unknown,19,19,No,Yes,NA,
Maeda,24,3,1960,Pygmy,74,F,Yes,-49,70,Mature,22,22,No,Yes,NA,
Maeda,24,3,1960,Pygmy,68,F,No,-49,70,Unknown,19,19,Yes,No,NA,
